Приорбанк Открытое акционерное общество, БИК PJCBBY2X;27.05.2025 16:23:08;
ВЫПИСКА ПО СЧЕТУ BY77PJCB15079786863381112130 С 01.01.2023 ПО 31.12.2023;
Исполнитель**************** 4044;
Дата пред. опер.*********** 30.12.2022;
Счет клиента*************** BY77PJCB75156477590051045225 EUR Пассивный;
Наименование счета********* АЛЬФА СИСТЕМС;

Дата док.;N док.;Код опер;Корреспондент.Код;Корреспондент.Счет;Корреспондент.Название;Номинал.Дебет;Номинал.Кредит;Эквивалент.Дебет;Эквивалент.Кредит;Назначение;
20.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;1 209,83;0,00;Переоценка ;
20.01.2023;241;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;82 000,00;0,00;234 388,80;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
23.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;513,55;0,00;Переоценка ;
24.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 049,92;Переоценка ;
25.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;924,39;0,00;Переоценка ;
26.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;365,19;Переоценка ;
27.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 044,22;Переоценка ;
30.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;102,71;0,00;Переоценка ;
31.01.2023;560;6;EUR;BY77 PJCB7282 6035345518489613;КАСКАД ИНЖИНИРИНГ;0,00;0,01;0,00;0,03;Уплата процентов по остаткам на счете N  BY80PJCB30120097991030000978 за период с 01.01.2023 по 31.01.2023 согласно договора на РКО N 9799 от 22.04.2014 Без НДС. ;
31.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;696,14;Переоценка ;
01.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;507,84;Переоценка ;
02.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 124,10;Переоценка ;
03.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 563,47;Переоценка ;
06.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;268,19;0,00;Переоценка ;
07.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;1 871,60;0,00;Переоценка ;
08.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;251,07;Переоценка ;
09.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 460,76;Переоценка ;
10.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;2 539,21;Переоценка ;
13.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;1 192,57;0,00;Переоценка ;
14.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;28,53;Переоценка ;
15.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 506,41;Переоценка ;
16.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;399,43;0,00;Переоценка ;
17.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;895,86;Переоценка ;
20.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;165,48;0,00;Переоценка ;
21.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;718,97;0,00;Переоценка ;
22.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;445,08;Переоценка ;
23.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;559,20;0,00;Переоценка ;
24.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;781,73;0,00;Переоценка ;
27.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;45,65;Переоценка ;
28.02.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;91,30;0,00;Переоценка ;
01.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;542,08;Переоценка ;
02.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 044,21;Переоценка ;
03.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;701,85;Переоценка ;
06.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;273,89;0,00;Переоценка ;
07.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 021,39;Переоценка ;
09.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;291,01;Переоценка ;
10.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;827,38;0,00;Переоценка ;
13.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;336,66;Переоценка ;
14.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;970,03;Переоценка ;
15.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;45,65;Переоценка ;
16.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;182,59;0,00;Переоценка ;
17.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;114,13;0,00;Переоценка ;
20.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;616,26;Переоценка ;
21.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 626,24;Переоценка ;
22.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;570,61;Переоценка ;
23.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;610,55;Переоценка ;
24.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;975,74;Переоценка ;
27.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;2 984,28;0,00;Переоценка ;
28.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 095,57;Переоценка ;
29.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;456,48;Переоценка ;
30.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 403,70;Переоценка ;
31.03.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;97,00;Переоценка ;
03.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;194,01;Переоценка ;
04.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;11,41;Переоценка ;
05.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;3 594,84;Переоценка ;
06.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;462,20;Переоценка ;
07.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;804,55;Переоценка ;
10.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;3 052,76;Переоценка ;
11.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;1 369,46;0,00;Переоценка ;
12.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;85,59;Переоценка ;
13.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;291,01;Переоценка ;
14.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 027,10;Переоценка ;
17.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;68,47;Переоценка ;
18.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;570,61;0,00;Переоценка ;
19.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;393,72;0,00;Переоценка ;
20.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;696,14;0,00;Переоценка ;
21.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;405,13;Переоценка ;
26.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;399,42;0,00;Переоценка ;
27.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 420,81;Переоценка ;
28.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;125,53;0,00;Переоценка ;
29.04.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;1 506,41;0,00;Переоценка ;
02.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;912,97;0,00;Переоценка ;
03.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;1 283,87;0,00;Переоценка ;
04.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;844,50;Переоценка ;
05.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;114,12;0,00;Переоценка ;
10.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;3 982,86;0,00;Переоценка ;
11.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;679,02;0,00;Переоценка ;
12.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;2 710,40;0,00;Переоценка ;
13.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;2 025,67;Переоценка ;
15.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;216,83;0,00;Переоценка ;
16.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;2 887,28;Переоценка ;
17.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;2 105,55;Переоценка ;
18.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;39,94;Переоценка ;
19.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;342,37;0,00;Переоценка ;
22.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;764,61;0,00;Переоценка ;
23.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;279,60;Переоценка ;
24.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;291,01;0,00;Переоценка ;
25.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;199,72;0,00;Переоценка ;
26.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;844,50;0,00;Переоценка ;
29.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;502,14;0,00;Переоценка ;
30.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;490,72;0,00;Переоценка ;
31.05.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;524,96;Переоценка ;
01.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;901,56;0,00;Переоценка ;
02.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;850,21;Переоценка ;
05.06.2023;268;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;900,00;0,00;2 830,14;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
05.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;696,14;Переоценка ;
06.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;612,15;0,00;Переоценка ;
07.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;511,07;0,00;Переоценка ;
08.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;320,12;Переоценка ;
09.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 061,44;Переоценка ;
12.06.2023;269;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;2 500,00;0,00;7 921,25;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
12.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 083,91;Переоценка ;
13.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;638,56;Переоценка ;
14.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;2 441,57;Переоценка ;
15.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;590,27;Переоценка ;
16.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;85,86;Переоценка ;
19.06.2023;270;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;1 800,00;0,00;5 882,04;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
19.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 572,26;Переоценка ;
20.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;586,02;0,00;Переоценка ;
20.06.2023;271;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;8 500,00;0,00;27 680,25;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
21.06.2023;272;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;76 000,00;0,00;247 676,40;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
21.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;104,06;Переоценка ;
21.06.2023;623;1;EUR;KZ52 836BTB67 71360790;NORTHWIND TRADING;0,00;87 290,00;0,00;284 469,38;PLAVNO LLPBIN220340017991 EKNP1727851101 STR. 49BASTANA KAZAKHSTAN PAYMENT FOR SOFTWARE DEVELOPMENT ACCORDING TO CONTRACT 07-USD-22-09 DD19.06.23/INS/SOLADESTXXX;
22.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;76,51;Переоценка ;
23.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;989,19;Переоценка ;
26.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;1 732,44;0,00;Переоценка ;
27.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 672,32;Переоценка ;
28.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;918,14;Переоценка ;
29.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;360,69;Переоценка ;
30.06.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;497,33;Переоценка ;
04.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;1 180,46;0,00;Переоценка ;
04.07.2023;274;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;1 000,00;0,00;3 288,20;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
05.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 051,55;Переоценка ;
06.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;429,21;Переоценка ;
07.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 384,19;Переоценка ;
10.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;987,17;0,00;Переоценка ;
10.07.2023;275;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;1 500,00;0,00;4 984,80;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
11.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 048,23;Переоценка ;
12.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;495,43;0,00;Переоценка ;
13.07.2023;276;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;100,00;0,00;333,80;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
13.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;219,03;Переоценка ;
14.07.2023;277;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;800,00;0,00;2 698,56;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
14.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;1 832,19;Переоценка ;
17.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;266,51;Переоценка ;
18.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;722,64;Переоценка ;
19.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;281,88;Переоценка ;
20.07.2023;278;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;82 000,00;0,00;279 300,20;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
20.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;415,13;Переоценка ;
20.07.2023;723;1;EUR;KZ52 836BTB67 71360790;NORTHWIND TRADING;0,00;39 427,50;0,00;134 294,01;PLAVNO LLPBIN220340017991 EKNP1727851101 STR. 49BASTANA KAZAKHSTAN PAYMENT FOR SOFTWARE DEVELOPMENT ACCORDING TO CONTRACT 07-USD-22 DD 03.06.22/INS/SOLADESTXXX;
21.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;92,86;0,00;Переоценка ;
21.07.2023;279;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;4 000,00;0,00;13 581,60;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
24.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;168,89;0,00;Переоценка ;
25.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;66,44;0,00;Переоценка ;
25.07.2023;280;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;1 000,00;0,00;3 345,10;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
26.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;89,38;0,00;Переоценка ;
27.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;38,25;Переоценка ;
28.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;66,95;Переоценка ;
31.07.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;107,41;0,00;Переоценка ;
31.07.2023;281;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;1 000,00;0,00;3 320,20;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
01.08.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;73,39;Переоценка ;
